FCI,slug,nazov,vyska_verejna,hmotnost_verejna,sekcia_verejna,image_url,zistenia,obrazok_http_status,obrazok_content_type
171,ardensky-bouvier,Ardenský bouvier,52–62 cm,22–35 kg,Pastierske psy okrem švajčiarskych salašníckych psov,/media/articles/2026/057d9ec3-609f-4bb1-bc9b-23da064bc2af.webp,editorial_complete=0,200,image/webp
293,australska-kelpia,Austrálska kelpia,43–51 cm,,Ovčiarske psy,/media/articles/2026/3d3154b2-6406-4dbe-a7df-77f2afa14583.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
287,australsky-dobytkarsky-pes,Austrálsky dobytkársky pes,43–51 cm,,Pastierske psy okrem švajčiarskych salašníckych psov,/media/articles/2026/7b630c11-2d36-4bfb-a635-5f99666b46b8.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
342,australsky-ovciak,Austrálsky ovčiak,46–58 cm,16–32 kg,Ovčiarske psy,/images/breeds/australsky-ovciak.webp,editorial_complete=0,200,image/webp
271,bearded-kolia,Bearded kólia,51–56 cm,,Ovčiarske psy,/media/articles/2026/f2900488-f1a7-4572-9ac4-ddd4fff6a02d.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
44,beauceron,Beauceron,61–70 cm,,Ovčiarske psy,/media/articles/2026/6b58cae1-6c6f-4a38-a6e6-8a9641408398.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
15,belgicky-ovciak,Belgický ovčiak,56–66 cm,20–30 kg,Ovčiarske psy,/media/articles/2026/13300f5e-5821-4225-84f2-c06353ed5303.png,editorial_complete=0,200,image/png
194,bergamsky-ovciak,Bergamský ovčiak,54–62 cm,26–38 kg,Ovčiarske psy,/media/articles/2026/9e5e0d71-a9ea-4013-a173-3775579a064d.webp,editorial_complete=0,200,image/webp
347,biely-svajciarsky-ovciak,Biely švajčiarsky ovčiak,53–66 cm,25–40 kg,Ovčiarske psy,/media/articles/2026/86cb11cc-0882-4a98-8a1f-c83eb9520537.png,editorial_complete=0,200,image/png
16,bobtail-staroanglicky-ovciak,Bobtail – staroanglický ovčiak,56–61 cm,,Ovčiarske psy,/media/articles/2026/1737e703-c600-4eb0-bb91-ae81ec222dec.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
297,border-kolia,Border kólia,53 cm,12–22 kg,Ovčiarske psy,/images/breeds/border-kolia.webp,editorial_complete=0,200,image/webp
113,briard,Briard,56–68 cm,,Ovčiarske psy,/media/articles/2026/ac0b2cf5-7640-425e-aab1-9f29d5959871.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
